Employe,Matricule,Nom,Prenom,Departement,Poste,Sexe,DateNaissance,Statut Marital,Formation,Deplacement,Pays,Distance Domicile lieu de travail,Salaire,Stocks Option,Heures Sup,Nombre employeurs precedents,Nombre annees de travail,Anciennete,Anciennete dans le poste actuel,Changement de poste en annees,Derniere augmentation,Nombre de formations 2015
1.000000,"10001","Martin","Catherine","Ventes","Sales Executive","1",1975-06-26,"Celibataire","Bac","Occasionnel","France","10 KM",5993.000000,0.000000,"Oui",8.000000,8.000000,6.000000,4.000000,0.000000,5.000000,0.000000
1.000000,"10002","Manvu","Gerard","R&D","Research Scientist","2",1967-06-28,"Marie","Sans","Nomade","France","80 KM",5130.000000,1.000000,"Non",1.000000,10.000000,10.000000,7.000000,1.000000,7.000000,3.000000
1.000000,"10003","Thomas","SYLVAIN","R&D","Laboratory Technician","2",1979-06-25,"Celibataire","Bac","Occasionnel","France","20 KM",2090.000000,0.000000,"Oui",6.000000,7.000000,0.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10004","Petit","Patrice","R&D","Research Scientist","",1983-06-24,"Marie","Bac Plus3","Nomade","France","30 KM",2909.000000,0.000000,"Oui",1.000000,8.000000,8.000000,7.000000,3.000000,0.000000,3.000000
1.000000,"10005","Robert","GENEVIEVE","R&D","Laboratory Technician","1",1989-06-22,"Marie","Sans","Occasionnel","France","20 KM",3468.000000,1.000000,"Non",9.000000,6.000000,2.000000,2.000000,2.000000,2.000000,3.000000
1.000000,"10006","Richard","ANNE MARIE","R&D","Laboratory Technician","1",1984-06-23,"Celibataire","Bac","Nomade","France","20 KM",3068.000000,0.000000,"Non",0.000000,8.000000,7.000000,7.000000,3.000000,6.000000,2.000000
1.000000,"10007","Durand","LYDIE","R&D","Laboratory Technician","",1957-06-30,"Marie","Bac Plus2","Occasionnel","France","30 KM",2670.000000,3.000000,"Oui",4.000000,12.000000,1.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10008","Dubois","MARTINE","R&D","Laboratory Technician","",1986-06-23,"Marie","Sans","Occasionnel","France","240 KM",2693.000000,1.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10009","Moreau","ISABELLE","R&D","Manufacturing Director","1",1978-06-25,"Celibataire","Bac Plus2","Nomade","France","230 KM",9526.000000,0.000000,"Non",0.000000,10.000000,9.000000,7.000000,1.000000,8.000000,2.000000
1.000000,"10010","Laurent","LUCETTE","R&D","Healthcare Representative","1",1980-06-24,"Inc","Bac Plus2","Occasionnel","France","270 KM",5237.000000,2.000000,"Non",6.000000,17.000000,7.000000,7.000000,7.000000,7.000000,3.000000
1.000000,"10011","Simon","MARIE CHRISTINE","R&D","Laboratory Technician","1",1981-06-24,"Marie","Bac Plus2","Occasionnel","France","160 KM",2426.000000,1.000000,"Non",0.000000,6.000000,5.000000,4.000000,0.000000,3.000000,5.000000
1.000000,"10012","Michel","SOPHIE","R&D","Laboratory Technician","1",1987-06-23,"Celibataire","Bac","Occasionnel","France","150 KM",4193.000000,0.000000,"Oui",0.000000,10.000000,9.000000,5.000000,0.000000,8.000000,3.000000
1.000000,"10013","Lefebvre","JOZINA","R&D","Research Scientist","1",1985-06-23,"Marie","Sans","Occasionnel","France","260 KM",2911.000000,1.000000,"Non",1.000000,5.000000,5.000000,2.000000,4.000000,3.000000,1.000000
1.000000,"10014","Leroy","MARIE FRANCE","R&D","Laboratory Technician","1",1982-06-24,"Marie","Bac","Occasionnel","France","190 KM",2661.000000,1.000000,"Non",0.000000,3.000000,2.000000,2.000000,1.000000,2.000000,2.000000
1.000000,"10015","Roux","Paul","R&D","Laboratory Technician","",1988-06-22,"Celibataire","Bac Plus2","Occasionnel","France","240 KM",2028.000000,0.000000,"Oui",5.000000,6.000000,4.000000,2.000000,0.000000,3.000000,4.000000
1.000000,"10016","David","ELIANE","R&D","Manufacturing Director","",1987-06-23,"Marie","Bac Plus3","Occasionnel","France","210 KM",9980.000000,1.000000,"Non",1.000000,10.000000,10.000000,9.000000,8.000000,8.000000,1.000000
1.000000,"10017","Bertrand","XAVIER","R&D","Research Scientist","2",1984-06-23,"Marie","Bac","Occasionnel","France","50 KM",3298.000000,2.000000,"Oui",0.000000,7.000000,6.000000,2.000000,0.000000,5.000000,5.000000
1.000000,"10018","Morel","CHRISTINE","R&D","Laboratory Technician","",1994-06-21,"Marie","Bac","Sedentaire","France","160 KM",2935.000000,2.000000,"Oui",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10019","Fournier","JOSY","Ventes","Manager","1",1963-06-29,"Marie","Bac Plus3","Occasionnel","France","20 KM",15427.000000,0.000000,"Non",2.000000,31.000000,25.000000,8.000000,3.000000,7.000000,3.000000
1.000000,"10020","Girard","LAURENCE","R&D","Research Scientist","1",1978-06-25,"Celibataire","Bac Plus2","Occasionnel","France","20 KM",3944.000000,0.000000,"Oui",5.000000,6.000000,3.000000,2.000000,1.000000,2.000000,3.000000
1.000000,"10021","Bonnet","ANTOINETTE","R&D","Manufacturing Director","1",1992-06-21,"Marie","Bac","Sedentaire","France","110 KM",4011.000000,1.000000,"Non",0.000000,5.000000,4.000000,2.000000,1.000000,3.000000,5.000000
1.000000,"10022","Dupont","CHRISTIANE","Ventes","Sales Representative","",1980-06-24,"Celibataire","Bac Plus3","Occasionnel","France","90 KM",3407.000000,0.000000,"Non",7.000000,10.000000,5.000000,3.000000,0.000000,3.000000,4.000000
1.000000,"10023","Lambert","PAULE","R&D","Research Director","",1982-06-24,"Celibataire","Bac Plus3","Occasionnel","France","70 KM",11994.000000,0.000000,"Non",0.000000,13.000000,12.000000,6.000000,2.000000,11.000000,4.000000
1.000000,"10024","Fontaine","CHRISTELLE","R&D","Research Scientist","1",1995-06-21,"Celibataire","Bac","Occasionnel","France","150 KM",1232.000000,0.000000,"Non",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000
1.000000,"10025","Rousseau","COLETTE","R&D","Research Scientist","",1982-06-24,"Celibataire","Sans","Occasionnel","France","60 KM",2960.000000,0.000000,"Non",2.000000,8.000000,4.000000,2.000000,1.000000,3.000000,2.000000
1.000000,"10026","Vincent","VALERIE","R&D","Manager","1",1963-06-29,"Marie","Bac Plus2","Occasionnel","France","50 KM",19094.000000,1.000000,"Non",4.000000,26.000000,14.000000,13.000000,4.000000,8.000000,3.000000
1.000000,"10027","Muller","Bagdat","R&D","Research Scientist","",1984-06-23,"Celibataire","Sans","Nomade","France","160 KM",3919.000000,0.000000,"Oui",1.000000,10.000000,10.000000,2.000000,6.000000,7.000000,5.000000
1.000000,"10028","Lefevre","VANESSA","Ventes","Sales Executive","",1974-06-26,"Marie","Bac Plus3","Occasionnel","France","80 KM",6825.000000,1.000000,"Non",0.000000,10.000000,9.000000,7.000000,4.000000,2.000000,2.000000
1.000000,"10029","Faure","SUZANNE","R&D","Healthcare Representative","1",1972-06-26,"Marie","Bac Plus3","Occasionnel","France","70 KM",10248.000000,1.000000,"Non",3.000000,24.000000,22.000000,6.000000,5.000000,17.000000,4.000000
1.000000,"10030","Andre","Eric","Ventes","Manager","1",1970-06-27,"Celibataire","Bac Plus3","Occasionnel","France","20 KM",18947.000000,0.000000,"Non",3.000000,22.000000,2.000000,2.000000,2.000000,1.000000,2.000000
1.000000,"10031","Mercier","Eric","R&D","Laboratory Technician","",1983-06-24,"Celibataire","Bac Plus2","Occasionnel","France","20 KM",2496.000000,0.000000,"Non",4.000000,7.000000,1.000000,1.000000,0.000000,0.000000,3.000000
1.000000,"10032","Blanc","Marine","R&D","Healthcare Representative","1",1972-06-26,"Marie","Bac Plus3","Occasionnel","France","100 KM",6465.000000,0.000000,"Oui",2.000000,9.000000,4.000000,2.000000,1.000000,3.000000,5.000000
