Code Client;Civilite;Nom;Prenom;Adresse1;CodePostal;Commune;Date Naissance;Date entrée en relation;Email;Twitter;facebook;Klout;Points;AppMobile;Magasin;Newsletter;score parfums BIO;score soleil des iles
2878448;Mme;WORMSER;Emmanuelle;4 RUE PIERRE LOTI;60000;BEAUVAIS;01-juin-78;11-juin-16;Emmanuelle_WORMSER@outlook.fr;;WORMSER@facebook.fr;12;129;0;Montparnasse;0;1;1
2926868;Mme;CARRON;Marie Cecile;40, RUE DE LA REPUBLIQUE;67000;NIEDERBRONN LES BAINS;19-avr-82;08-déc-16;CARRON@yahoo.fr;;;23;108;0;Montparnasse;0;1;1
2458199;Mme;GARREC;Laurence;LA VETTE;0241;LE FLEIX;27-juin-86;25-mars-15;GARREC@yahoo.fr;http://twitter.com/GARREC;GARREC@facebook.fr;15;84;0;Wagram;0;1;0
3476986;Mme;VEROUL;Tiphaine;78 ALLÉE SIMONE SIGNORET;01000;BOURG EN BRESSE;08-mai-87;16-août-15;VEROUL@yahoo.fr;http://twitter.com/VEROUL;Tiphaine.VEROUL@facebook.com;21;201;0;Montparnasse;0;1;0
2529539;Mme;BOREKAOU;CHRISTINE;6 RUE A. DE ST EXUPERY;01000;BOURG EN BRESSE;04-mars-82;04-août-15;BOREKAOU@yahoo.fr;;BOREKAOU@facebook.fr;2;132;0;Montparnasse;0;0;1
2478445;Mme;DESSEAUX;MARIE CLAUDE;7 RUE DES LILAS;01000;BOURG EN BRESSE;16-sept-73;29-juin-15;MARIE CLAUDE.DESSEAUX@icloud.com;http://twitter.com/MARIE CLAUDE.DESSEAUX;DESSEAUX@facebook.fr;15;16;0;Montparnasse;0;0;0
2782219;Mme;MASSU;LYDIE;CHAUSSÉE DE BOONDAEL;1050;BRUXELLES;28-oct-69;03-sept-16;LYDIE.MASSU@free.fr;http://twitter.com/LYDIE.MASSU;LYDIE.MASSU@facebook.com;39;122;0;Montparnasse;0;0;0
3490792;Mr;GIRBAS;Michel;AVENUE HENRI LIEBRECHT 72 BTE10;1090;BUXELLES;19-juil-84;04-août-15;GIRBAS@yahoo.fr;http://twitter.com/GIRBAS;GIRBAS@facebook.fr;48;12;0;Montparnasse;0;1;0
3246984;Mme;ABRAINI;YVETTE;246 RUE MARIUS CADOZ;1170;GEX;15-déc-72;30-mai-16;YVETTE.ABRAINI@icloud.com;http://twitter.com/ABRAINI;;15;61;0;Montparnasse;0;0;0
2874201;Mme;GUASTELLA;CORINNE;19 IMPASSE DU PERCHET;1170;CROZET;01-sept-90;08-déc-16;GUASTELLA@yahoo.fr;http://twitter.com/CORINNE.GUASTELLA;;0;40;0;Montparnasse;0;0;1
2728027;Mme;SWIDERSKI;Claire;86 CHEMIN DE LA BARGOGNE;1170;CROZET;27-août-85;18-mai-16;Claire_SWIDERSKI@outlook.fr;http://twitter.com/SWIDERSKI;;51;71;0;Montparnasse;0;1;1
2274060;Mme;GARNIER;GINETTE;5 RUE DU VALROMEY;1200;INJOUX GENISSIAT;15-nov-72;02-nov-16;GARNIER@yahoo.fr;http://twitter.com/GARNIER;GINETTE.GARNIER@facebook.com;7;96;0;Montparnasse;0;0;0
7427033;Mme;BOIXIERE;Marinette;3 AVENUE DU BIJOU;1210;FERNEY VOLTAIRE;10-févr-91;03-sept-16;Marinette.BOIXIERE@free.fr;;BOIXIERE@facebook.fr;17;99;1;Wagram;0;0;0
3126172;Mme;MIHAJILOVITCH;ROSELINE;3 AVENUE DU BIJOU;1210;FERNEY VOLTAIRE;18-nov-88;19-janv-16;ROSELINE_MIHAJILOVITCH@outlook.fr;;;42;26;0;Montparnasse;0;1;1
3057168;Mme;COMUCE;Michelle;16 CHANTEMERLE;1226;THÔNEX;09-mars-85;22-août-16;COMUCE@yahoo.fr;http://twitter.com/COMUCE;COMUCE@facebook.fr;25;114;0;Montparnasse;0;1;0
4181120;Mr;FOUGEYROLLAS;Lionel;308 RUE DU FRENE;1300;PEYRIEU;27-sept-94;23-juin-16;Lionel_FOUGEYROLLAS@outlook.fr;;Lionel.FOUGEYROLLAS@facebook.com;21;94;0;Wagram;0;1;1
2882890;Mr;BOURNAZEL;RENE;1057 ROUTE DE SORBIER;1300;PARVES;04-avr-61;24-avr-16;BOURNAZEL@yahoo.fr;;;32;108;0;Montparnasse;0;0;1
3424262;Mme;PURTO;CLAUDINE;33 CHEMIN BERNARD CROIX;1325;BONLEZ;21-oct-73;05-juin-15;CLAUDINE.PURTO@icloud.com;;PURTO@facebook.fr;37;43;0;Montparnasse;0;1;1
7465243;Mr;BLANCHARD;CLAUDE;5 LOTISSEMENT LES HIRONDELLES;1330;LAPEYROUSE;22-juil-80;20-déc-16;CLAUDE.BLANCHARD@icloud.com;http://twitter.com/BLANCHARD;BLANCHARD@facebook.fr;122;37;0;Wagram;0;1;0
2404976;Mme;RIGAUD;Valerie;;1330;villans les doubes;26-août-83;05-juil-16;Valerie_RIGAUD@outlook.fr;http://twitter.com/RIGAUD;Valerie.RIGAUD@facebook.com;27;44;0;Wagram;0;0;1
2724344;Mme;BENOIT;Michele;243 ROUTE DE GREZIAT;1380;ST CYR SUR MENTHON;25-mars-79;07-mars-16;BENOIT@yahoo.fr;http://twitter.com/BENOIT;BENOIT@facebook.fr;2;66;0;Montparnasse;0;1;0
3238875;Mme;GAMBLIN;Marie Helene;119 RUE DES PINS;1390;TRAMOYES;02-avr-95;20-nov-15;Marie Helene.GAMBLIN@free.fr;http://twitter.com/Marie Helene.GAMBLIN;;16;4;0;Montparnasse;0;1;1
2460223;Mme;PANNEL;Catherine;132 CHEMIN DE L AIGNEFEUILLE;1440;VIRIAT;01-janv-85;01-janv-17;PANNEL@yahoo.fr;;;1;140;0;Wagram;0;0;1
3076967;Mr;SOFIANOS;Jean Thierry;366 CHEMIN DE LA GARENNE;1480;FAREINS;16-août-90;08-déc-16;SOFIANOS@yahoo.fr;http://twitter.com/SOFIANOS;;88;63;1;Montparnasse;0;0;0
3188183;Mme;TABBI;Mikako;89 CHEMIN DU RIVELIN;1480;FAREINS;16-juil-92;22-août-16;Mikako.TABBI@gmail.com;http://twitter.com/TABBI;;50;143;0;Montparnasse;0;0;0
3016873;Mme;NEVEU;Isabelle;119 RUE DE LA SAONE;1600;ST BERNARD;23-déc-90;23-juil-15;NEVEU@yahoo.fr;;NEVEU@facebook.fr;18;40;0;Montparnasse;0;0;0
2339898;Mme;ORRIERE;Muriel;8 RUE DE LHOPITAL;1600;TREVOUX;06-mai-96;25-mars-15;Muriel.ORRIERE@free.fr;http://twitter.com/ORRIERE;;32;78;0;Montparnasse;1;0;0
2882960;Mme;BELTRAMELLI;;37 PARC DU BUGNON;1630;SAINT-GENIS-POUILLY;08-mai-85;28-août-15;.BELTRAMELLI@free.fr;http://twitter.com/BELTRAMELLI;BELTRAMELLI@facebook.fr;5;33;0;Montparnasse;1;0;0
2341894;Mme;MICHEL;ANNIE;RUE DES TULIPES;1710;THOIRY;06-août-78;08-nov-15;ANNIE.MICHEL@free.fr;;MICHEL@facebook.fr;41;74;0;Montparnasse;0;1;1
4529760;Mlle;DELAIGUE;Michelle;3 CHEMIN DES GRANGES;1800;SAINT MAURICE DE GOURDANS;23-juin-86;03-sept-16;Michelle.DELAIGUE@free.fr;;;37;60;0;Montparnasse;0;0;1
4360424;Mme;PAGES;LUCETTE;16 RTE DE PODEMAINGE;1937;ORSIÈRES;11-nov-88;30-avr-15;LUCETTE.PAGES@free.fr;;PAGES@facebook.fr;75;186;1;Montparnasse;0;0;1
3469373;Mme;AUGUSTE;Ariane;3 RUE LAVIGNE;2000;LAON;10-nov-90;15-oct-15;Ariane.AUGUSTE@free.fr;;Ariane.AUGUSTE@facebook.com;19;16;0;Montparnasse;0;1;0
6958096;Mlle;PETIT;Nicole;1 RUE THOMAS;2100;OMISSY;19-sept-70;02-nov-16;PETIT@yahoo.fr;http://twitter.com/PETIT;;187;161;1;Montparnasse;0;0;0
3889560;Mme;LACROIX;Francoise;;2100;SAINT QUENTIN;16-avr-97;24-févr-16;LACROIX@yahoo.fr;;LACROIX@facebook.fr;62;19;0;Montparnasse;0;1;1
3332259;Mlle;PLAGNOL;Sylvie;8 rue Philippe de Girard;2100;SAINT QUENTIN;29-mars-75;24-mai-15;Sylvie.PLAGNOL@gmail.com;http://twitter.com/Sylvie.PLAGNOL;PLAGNOL@facebook.fr;63;71;0;Montparnasse;0;1;1
2556149;Mme;MARCHAND;CELINE;11 rue Louise Michel;2100;SAINT QUENTIN;05-avr-79;29-juil-16;CELINE.MARCHAND@icloud.com;http://twitter.com/CELINE.MARCHAND;MARCHAND@facebook.fr;59;15;0;Montparnasse;1;0;1
2454039;Mme;LEFEBVRE;Helene;1 PLACE DES MARRONNIERS;2120;CHIGNY;23-déc-88;19-mars-16;LEFEBVRE@yahoo.fr;;;1;99;0;Montparnasse;0;0;0
2933192;Mr;SERVON;Basile;57 RUE DE LA BUTTE;2190;EVERGNICOURT;19-juil-82;27-sept-16;Basile.SERVON@free.fr;;SERVON@facebook.fr;25;149;0;Wagram;0;0;1
2248138;Mlle;CAYEUX;Laure;700 RUE GAMBETTA;2200;COURMELLES;27-juin-92;30-mai-16;Laure.CAYEUX@free.fr;;Laure.CAYEUX@facebook.com;22;110;0;Montparnasse;0;1;0
5178089;Mme;KEYSERS;MIKA;25 RUE DE L OSIERE;2200;PASLY;21-oct-69;01-janv-17;KEYSERS@yahoo.fr;;MIKA.KEYSERS@facebook.com;0;54;0;Wagram;0;0;1
5459080;Mlle;BERTRAND;Isabelle;;2200;SOISSONS;12-mars-78;12-avr-16;Isabelle.BERTRAND@free.fr;http://twitter.com/BERTRAND;;3;5;0;Montparnasse;0;1;1
3493579;Mme;GATTEGNO;CARMEN;9 rue des cordeliers;2200;soissons;14-févr-85;24-févr-16;CARMEN.GATTEGNO@gmail.com;http://twitter.com/GATTEGNO;GATTEGNO@facebook.fr;3;48;0;Wagram;0;0;1
2556140;Mme;HELIER;Marie Therese;RUE DE LA CHAUMIÈRE;2200;VILLENEUVE-SAINT-GERMAIN;03-janv-85;12-avr-16;Marie Therese.HELIER@icloud.com;;Marie Therese.HELIER@facebook.com;27;13;0;Montparnasse;0;0;1
2354768;Mlle;BOURILLON;Annick;35 BOULEVARD JEANNE DARC;2200;SOISSONS;23-juil-84;15-sept-16;BOURILLON@yahoo.fr;http://twitter.com/BOURILLON;Annick.BOURILLON@facebook.com;8;26;0;Montparnasse;0;0;0
4230118;Mme;PRE CHARTIER;CATHERINE;24 RUE JACQUES MOQUET;2210;VILLEMONTOIRE;29-juin-67;09-oct-16;PRE CHARTIER@yahoo.fr;http://twitter.com/PRE CHARTIER;PRE CHARTIER@facebook.fr;53;248;0;Montparnasse;0;1;1
5178486;Mme;CRISA;Nadine;45 RUE DU GENERAL LECLERC;2230;FRESNOY LE GRAND;26-déc-79;27-oct-15;Nadine.CRISA@free.fr;;;31;91;0;Montparnasse;0;0;0
3630305;Mme;LE HIR;Karine;45 rue du général leclerc;2230;Fresnoy Le Grand;26-janv-82;25-mars-15;LE HIR@yahoo.fr;;LE HIR@facebook.fr;42;16;0;Montparnasse;0;1;1
5839476;Mme;ALEXANDRE;Corinne;15 RUE DES FORTES TERRES;2300;SINCENY;24-nov-87;05-févr-15;Corinne.ALEXANDRE@gmail.com;;ALEXANDRE@facebook.fr;44;107;0;Montparnasse;0;1;0
2758801;Mme;LETELLIER;Colette;11 BIS RUE DE CHAUNY;2300;CAILLOUEL CREPIGNY;09-sept-88;12-avr-16;Colette_LETELLIER@outlook.fr;http://twitter.com/LETELLIER;;18;86;0;Montparnasse;1;1;1
2458228;Mlle;CARILLO;Juliette;4 RUE JEAN CLAUDE;2300;GUNY;18-mai-81;01-mars-15;CARILLO@yahoo.fr;;Juliette.CARILLO@facebook.com;3;31;0;Montparnasse;0;0;0
2493186;Mme;PONSONNAILLES;Nicole;25 RUE DE LA GRANGE DES BOIS;2310;DOMPTIN;29-août-74;22-août-16;PONSONNAILLES@yahoo.fr;;;11;43;0;Montparnasse;0;0;1
