ProductCategory,ProductType,ProductGroup,SalesMethod,Country,City,StaffName,Position,ReasonDescription,ReturnedDate,ReturnQuantity,Province
Active Health,First Aid,Aloe Relief,Store,Netherlands,Amsterdam,Belinda Jansen-Velasquez,Level 1 Sales Representative,Incomplete product,2011-08-12,2,Aberdeen
Active Health,First Aid,Aloe Relief,Web,Austria,Wien,Willi Seefelder,Level 2 Sales Representative,Defective product,2009-11-04,4,Aberdeenshire
Active Health,First Aid,Aloe Relief,Web,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Defective product,2009-04-02,8,Anglesey
Active Health,First Aid,Calamine Relief,Store,United States,Boston,Allisia Wilcox,Level 2 Sales Representative,Incomplete product,2010-08-21,2,Angus
Active Health,First Aid,Compact Relief Kit,Store,United States,Seattle,Ashley McCormick,Level 2 Sales Representative,Incomplete product,2009-08-24,2,Antrim
Active Health,First Aid,Deluxe Family Relief Kit,Store,Netherlands,Amsterdam,Belinda Jansen-Velasquez,Level 1 Sales Representative,Incomplete product,2009-06-18,2,Ards
Active Health,First Aid,Deluxe Family Relief Kit,Store,United Kingdom,London,Humphrey Willoughby,Level 2 Sales Representative,Unsatisfactory product,2010-04-07,16,Argyll and Bute
Active Health,Insect Repellents,BugShield Extreme,Store,Canada,Toronto,Carole Claudel,Level 2 Sales Representative,Defective product,2011-08-18,8,Armagh
Active Health,Insect Repellents,BugShield Lotion,Catalog,Netherlands,Amsterdam,Jan Haverkamp,Level 2 Sales Representative,Incomplete product,2011-08-16,2,Ballymena
Active Health,Insect Repellents,BugShield Lotion,Store,China,Shanghai,Xiangyong Wang,Level 2 Sales Representative,Unsatisfactory product,2009-06-09,136,Ballymoney
Active Health,Insect Repellents,BugShield Lotion,Store,Mexico,Distrito Federal,Gabriela Rojas,Level 2 Sales Representative,Incomplete product,2009-04-29,2,Banbridge
Active Health,Insect Repellents,BugShield Lotion,Web,Sweden,Kista,Irene Engelbrektsson,Level 2 Sales Representative,Wrong product shipped,2009-09-09,54,Barking and Dagenham
Active Health,Insect Repellents,BugShield Lotion Lite,Store,United Kingdom,Birmingham,Janet Walker,Level 3 Sales Representative,Wrong product ordered,2010-07-20,260,Barnet
Active Health,Insect Repellents,BugShield Natural,Store,South Korea,Seoul,Jung-ho Choi,Level 3 Sales Representative,Incomplete product,2009-12-14,6,Barnsley
Active Health,Insect Repellents,BugShield Natural,Web,Netherlands,Amsterdam,Jan Haverkamp,Level 2 Sales Representative,Defective product,2010-11-22,6,Bath and North East Somerset
Active Health,Insect Repellents,BugShield Spray,Store,Australia,Melbourne,Dave Smythe,Level 1 Sales Representative,Defective product,2011-11-07,2,Bedford
Active Health,Insect Repellents,BugShield Spray,Store,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Incomplete product,2010-08-05,12,Belfast
Active Health,Sunscreen,Sun Blocker,Store,Taiwan,San Chung,Kwei-Ping  Kao ,Level 2 Sales Representative,Defective product,2009-07-10,8,Bexley
Active Health,Sunscreen,Sun Shelter 15,Store,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Defective product,2009-08-28,6,Birmingham
Active Health,Sunscreen,Sun Shelter 30,Store,Finland,Kuopio,Tuomas Savolainen,Level 2 Sales Representative,Incomplete product,2011-08-16,8,Blackburn with Darwen
Active Health,Sunscreen,Sun Shelter 30,Store,United Kingdom,Birmingham,Josef Lopez,Level 1 Sales Representative,Defective product,2010-07-16,2,Blackpool
Active Health,Sunscreen,Sun Shelter 30,Store,United States,Los Angeles,Margaret Lewiston,Level 2 Sales Representative,Wrong product ordered,2011-11-23,56,Blaenau Gwent
Active Health,Sunscreen,Sun Shelter Stick,Catalog,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Incomplete product,2011-10-24,4,Bolton
Active Health,Sunscreen,Sun Shelter Stick,Web,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Defective product,2011-11-01,2,Bournemouth
Active Health,Sunscreen,Sun Shield,Web,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Unsatisfactory product,2011-04-25,116,Bracknell Forest
Exercise,Cardio Equipment,Elipticals,Web,Spain,Bilbao,Yolanda Torres,Level 3 Sales Representative,Defective product,2010-12-14,6,Bradford
Exercise,Cardio Equipment,Exercise Bikes,Catalog,Austria,Wien,Willi Seefelder,Level 2 Sales Representative,Incomplete product,2010-10-25,2,Brent
Exercise,Cardio Equipment,Exercise Bikes,Store,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Defective product,2011-12-23,2,Bridgend
Exercise,Cardio Equipment,Exercise Bikes,Store,Germany,München,Björn Winkler,Level 3 Sales Representative,Defective product,2011-04-20,12,Brighton and Hove
Exercise,Cardio Equipment,Exercise Bikes,Store,Switzerland,Zürich,Gianni Vertemati,Level 1 Sales Representative,Incomplete product,2011-11-01,4,Bristol
Exercise,Cardio Equipment,Exercise Bikes,Store,United States,Seattle,Audrey Lastman,Level 3 Sales Representative,Incomplete product,2011-05-03,4,Bromley
Exercise,Cardio Equipment,Rowers,Web,Belgium,Heverlee,Giele Laermans,Level 1 Sales Representative,Incomplete product,2010-11-07,2,Buckinghamshire
Exercise,Cardio Equipment,Treadmills,Store,Canada,Calgary,Harold Townsend,Level 3 Sales Representative,Incomplete product,2011-10-26,4,Bury
Exercise,Cardio Equipment,Treadmills,Web,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Wrong product ordered,2011-02-07,20,Caerphilly
Exercise,Fitness Accessories,Fitness Balls,Store,Switzerland,Zürich,Frank Jever,Level 3 Sales Representative,Incomplete product,2011-10-23,8,Calderdale
Exercise,Fitness Accessories,Fitness Electronics,Store,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Wrong product shipped,2010-05-26,50,Cambridgeshire
Exercise,Fitness Accessories,Fitness Electronics,Store,Netherlands,Amsterdam,Ellen Shapiro,Level 2 Sales Representative,Wrong product ordered,2010-08-23,52,Camden
Exercise,Fitness Accessories,Fitness Electronics,Store,Netherlands,Amsterdam,Maria Laponder,Level 3 Sales Representative,Unsatisfactory product,2010-05-14,104,Cardiff
Exercise,Fitness Accessories,Fitness Electronics,Store,United Kingdom,Birmingham,Janet Walker,Level 3 Sales Representative,Defective product,2010-10-29,6,Carmarthenshire
Exercise,Fitness Accessories,Fitness Electronics,Web,Belgium,Heverlee,Yvette Lattrez,Level 3 Sales Representative,Incomplete product,2011-11-24,8,Carrickfergus
Exercise,Fitness Accessories,Fitness Electronics,Web,France,Lyon,Frédéric Samson,Level 3 Sales Representative,Incomplete product,2011-05-12,8,Castlereagh
Exercise,Fitness Accessories,Fitness Electronics,Web,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Wrong product ordered,2010-10-28,84,Central Bedfordshire
Exercise,Fitness Accessories,Fitness Electronics,Web,United States,Seattle,Audrey Lastman,Level 3 Sales Representative,Unsatisfactory product,2011-06-09,52,Ceredigion
Exercise,Fitness Accessories,Fitness Electronics,Web,United States,Seattle,Bart Scott,Level 2 Sales Representative,Wrong product shipped,2011-04-24,66,Cheshire East
Exercise,Fitness Accessories,Jump Ropes,Store,Australia,Melbourne,Donald Ward,Level 2 Sales Representative,Unsatisfactory product,2011-05-08,30,Cheshire West and Chester
Exercise,Fitness Accessories,Jump Ropes,Store,Belgium,Heverlee,Yvette Lattrez,Level 3 Sales Representative,Defective product,2011-08-10,4,City
Exercise,Fitness Accessories,Jump Ropes,Store,Canada,Calgary,Martine Vachon,Level 2 Sales Representative,Unsatisfactory product,2011-04-18,66,Clackmannanshire
Exercise,Fitness Accessories,Jump Ropes,Store,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Wrong product shipped,2010-07-29,20,Coleraine
Exercise,Fitness Accessories,Jump Ropes,Store,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Incomplete product,2010-08-31,2,Conwy
Exercise,Fitness Accessories,Jump Ropes,Store,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Wrong product shipped,2010-08-31,20,Cookstown
Exercise,Fitness Accessories,Jump Ropes,Store,United States,Seattle,Bart Scott,Level 2 Sales Representative,Unsatisfactory product,2011-10-24,12,Cornwall
Exercise,Fitness Accessories,Jump Ropes,Web,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Defective product,2010-10-02,4,Coventry
Exercise,Fitness Accessories,Jump Ropes,Web,Spain,Bilbao,Yolanda Torres,Level 3 Sales Representative,Incomplete product,2011-10-17,4,Craigavon
Exercise,Fitness Accessories,Jump Ropes,Web,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Defective product,2011-01-02,2,Croydon
Exercise,Fitness Accessories,Mats,Web,Mexico,Distrito Federal,Ana Orozco,Level 2 Sales Representative,Defective product,2010-05-11,2,Cumbria
Exercise,Fitness Accessories,Medicine Balls,Store,Germany,München,Björn Winkler,Level 3 Sales Representative,Defective product,2011-09-12,4,Darlington
Exercise,Fitness Accessories,Medicine Balls,Web,Canada,Toronto,Brendon Pike,Level 1 Sales Representative,Incomplete product,2011-01-14,2,Denbighshire
Exercise,Fitness Accessories,Resistance Bands,Store,Canada,Toronto,Samantha Pierce,Level 2 Sales Representative,Incomplete product,2010-04-15,2,Derby
Exercise,Fitness Accessories,Resistance Bands,Store,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Wrong product ordered,2011-06-25,30,Derbyshire
Exercise,Fitness Accessories,Resistance Bands,Store,United Kingdom,Birmingham,Janet Walker,Level 3 Sales Representative,Unsatisfactory product,2010-04-06,58,Derry
Exercise,Fitness Accessories,Videos/DVDs,Store,Australia,Melbourne,Donald Ward,Level 2 Sales Representative,Incomplete product,2011-12-30,2,Devon
Exercise,Fitness Accessories,Videos/DVDs,Store,Belgium,Heverlee,François De Crée,Level 1 Sales Representative,Defective product,2010-07-04,2,Doncaster
Exercise,Fitness Accessories,Videos/DVDs,Store,Belgium,Heverlee,François De Crée,Level 1 Sales Representative,Incomplete product,2010-10-26,2,Dorset
Exercise,Fitness Accessories,Videos/DVDs,Store,Canada,Toronto,Carole Claudel,Level 2 Sales Representative,Incomplete product,2011-06-07,4,Down
Exercise,Fitness Accessories,Videos/DVDs,Store,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Wrong product ordered,2010-06-13,16,Dudley
Exercise,Fitness Accessories,Videos/DVDs,Store,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Unsatisfactory product,2010-09-09,38,Dumfries and Galloway
Exercise,Fitness Accessories,Videos/DVDs,Store,Spain,Bilbao,Yolanda Torres,Level 3 Sales Representative,Defective product,2011-07-14,6,Dundee
Exercise,Fitness Accessories,Videos/DVDs,Store,Sweden,Kista,Bengt Gradin,Level 1 Sales Representative,Defective product,2010-11-07,6,Dungannon
Exercise,Fitness Accessories,Videos/DVDs,Store,Sweden,Kista,Bengt Gradin,Level 1 Sales Representative,Wrong product shipped,2010-09-17,12,Durham
Exercise,Fitness Accessories,Videos/DVDs,Store,United Kingdom,Birmingham,Emily Browne,Level 2 Sales Representative,Incomplete product,2010-08-03,2,Ealing
Exercise,Fitness Accessories,Videos/DVDs,Store,United States,Boston,Rhonda Cummings,Level 2 Sales Representative,Defective product,2011-01-24,2,East Ayrshire
Exercise,Fitness Accessories,Videos/DVDs,Web,Switzerland,Zürich,Frank Jever,Level 3 Sales Representative,Unsatisfactory product,2011-08-18,44,East Dunbartonshire
Exercise,Fitness Accessories,Videos/DVDs,Web,Switzerland,Zürich,Gianni Vertemati,Level 1 Sales Representative,Unsatisfactory product,2010-03-26,30,East Lothian
Exercise,Fitness Accessories,Videos/DVDs,Web,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Wrong product ordered,2010-04-22,44,East Renfrewshire
Exercise,Fitness Accessories,Videos/DVDs,Web,United States,Los Angeles,Valerie Cohen,Level 2 Sales Representative,Unsatisfactory product,2010-10-23,18,East Riding of Yorkshire
Exercise,Running,Kid's Running Apparel,Store,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Defective product,2011-11-14,2,East Sussex
