card_id,t_amount,t_no_over500,c_balance_limit,c_amount_last_month,time_no_3hour,time_amount_3hour,m_history,m_type,t_time,e_time_lag,time_reject,e_reject,limit,gender,edu_level,mar_stat,imp_lev,occupation,eco_cat,annual_salary,own_hou_flag,vendors_in_30_minutes,merchant_country,is_fraud
4392268302891401,4230,5,0.52,725.02,2,10000,1,4511,14,1440,1,0,44143.37,1,1,S,2,Payroll,1,153147,0,1,USA,1
4392268302891402,3000,3,0.23,680.3,4,20000,1,5311,12,1440,1,0,16494.75,1,6,M,2,Quality Assurance,2,153147,0,5,USA,1
4392268302891403,1000,4,0.25,762.03,2,0,1,4511,19,1440,1,0,33022.74,2,6,C,1,Media Relations,4,164182,1,1,China,1
4392268302891404,1000,3,0.25,523.34,2,169.61,1,5211,12,120,1,0,32533.5,2,2,M,3,Customer Relations,5,153147,0,1,Malaysia,1
4392268302891405,3000,5,0.505,480.28,2,191.13,1,5065,11,1440,1,1,30594.75,2,6,D,2,Quality Assurance,3,153147,0,1,USA,1
4392268302891406,3400,18,0.108,691.89,1,125.67,1,5912,11,1440,0,0,10628.12,1,7,C,1,Research and Development,5,85025,0,1,Russia,1
4392268302891407,262.7,13,0.101,471.37,2,0,1,4511,18,33,0,0,28660.5,2,7,S,4,Public Relations,3,129284,0,1,USA,1
4392268302891408,203.74,8,0.108,441.38,0,0,1,5812,14,30,0,0,19472.37,1,1,C,1,Customer Service,2,155779,1,5,Nigeria,1
4392268302891409,154.91,5,0.234,425.57,0,0,1,5812,12,23,0,0,37396.24,2,7,S,4,Public Relations,2,199170,0,1,USA,1
4392268302891410,175.87,7,0.222,742.57,0,0,1,5912,6,1440,0,0,41087.87,2,5,D,5,Tech Support,4,128703,0,1,USA,1
4392268302891411,3000,9,0.52,545.84,2,141.16,1,5912,16,1440,0,0,31009.62,1,7,D,5,Research and Development,4,558077,1,1,USA,0
4392268302891412,1000,13,0.23,551.75,2,112.5,1,5912,8,1440,0,0,38918.49,1,2,S,5,Sales and Marketing,1,771348,1,1,USA,0
4392268302891413,1000,10,0.5,756.02,0,0,1,5912,9,1440,0,0,36713.24,1,3,M,5,Tech Support,5,533706,1,3,China,0
